"unique_ID","English","French","Spanish"
"A_approach_A1","I do not measure the soil pH.","Je ne mesure pas le pH du sol.","No mido el pH del suelo."
"A_approach_A2","I have occasionally tested the soil pH, but this knowledge rarely influences my farming practices.","J'ai occasionnellement testé le pH du sol, mais cette connaissance n'impacte que rarement mes pratiques agricoles.","Ocasionalmente he analizado el pH del suelo, pero este conocimiento rara vez influye en mis prácticas agrícolas."
"A_approach_A3","Soil pH is regularly monitored, and amendments are applied if it is cost-effective.","Le pH du sol est régulièrement surveillé, et des amendements sont ajoutés si cela est rentable.","El pH del suelo se controla regularmente y se añaden enmiendas si resulta rentable."
"A_approach_A4","In my practice, I geolocate soil pH sampling points within zones and apply amendments variably only where needed.","Dans ma pratique, je géolocalise les points d'échantillonnage du pH du sol au sein de zones et applique les amendements de manière variable là où cela est nécessaire uniquement.","En mi práctica, geolocalizo los puntos de muestreo del pH del suelo dentro de zonas y aplico enmiendas de forma variable solo donde son necesarias."
"A_approach_Q","Which statement best describes your practice or approach? (Select only one option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","¿Cuál opción describe mejor su enfoque? (Seleccione solo una opción)"
"A_header","SECTION: ACIDIFICATION","SECTION ACIDIFICATION","SECCIÓN: ACIDIFICACIÓN"
"A_K_A1","Soil with a pH < 5.5 is considered acidic.","Un sol avec un pH < 5,5 est considéré comme acide.","Un suelo con un pH < 5,5 se considera ácido."
"A_K_A2","Soil pH influences the plants' ability to access nutrients and can lead to nutrient deficiency or toxicity.","Le pH du sol influence la capacité des plantes à accéder aux nutriments et peut entraîner une carence ou une toxicité.","El pH del suelo influye en la capacidad de las plantas para acceder a los nutrientes y puede provocar deficiencias o toxicidad."
"A_K_A3","Agricultural practices can cause soil acidification, even in alkaline soils.","Les pratiques agricoles peuvent provoquer l'acidification du sol, même dans les sols alcalins.","Las prácticas agrícolas pueden provocar la acidificación del suelo, incluso en suelos alcalinos."
"A_K_A4","The soil’s buffering capacity indicates its ability to resist changes in pH","La capacité tampon du sol indique la capacité du sol à résister aux changements de pH.","La capacidad tampón del suelo indica su capacidad para resistir cambios en el pH."
"A_K_A5","I am familiar with all of these concepts.","Je suis familier avec tous ces concepts.","Estoy familiarizado con todos estos conceptos."
"A_K_Q","Select all NEW concepts (Select all that apply)","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Seleccione todos los conceptos NUEVOS (Marque todas las opciones que correspondan)"
"A_opinion_A1","I consider that I do not need to know the pH of my soil.","Je considère que je n'ai pas besoin de connaître le pH de mon sol.","Considero que no necesito conocer el pH de mi suelo."
"A_opinion_A2","I think soil pH is rarely taken into account in my management decisions.","Je pense que le pH du sol est rarement prise en compte dans mes décisions relative à ma pratique.","Pienso que el pH del suelo raramente se tiene en cuenta en mis decisiones de manejo."
"A_opinion_A3","I believe practices that minimise soil acidification are a priority if they are profitable.","Je pense que des pratiques qui minimisent l'acidification du sol sont prioritaires si elles sont rentables.","Creo que las prácticas que minimizan la acidificación del suelo son prioritarias si resultan rentables."
"A_opinion_A4","In my opinion, everyone should monitor their soil pH — it is fundamental to my activity.","Selon moi, tout le monde devrait surveiller le pH de leur sol, c'est fondamental pour mon activité.","En mi opinión, todo el mundo debería controlar el pH de su suelo: es fundamental para mi actividad."
"A_opinion_Q","Which statement best describes your opinion? (Please select only one option)","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","¿Cuál afirmación describe mejor su opinión? (Seleccione solo una opción)"
"Age_Q","What is your age?","Quel âge avez-vous?","¿Cuál es su edad?"
"comment_placeholder","Write your answer here...","Écrivez votre réponse ici...","Escribe tu respuesta aquí..."
"consent_text","I have read and understood the information provided in the fact sheet and I voluntarily agree to participate in this research.","J’ai lu et compris les renseignements fournis dans la fiche d’informations et j’accepte de plein gré de participer à cette recherche.","He leído y entendido la información proporcionada en la hoja informativa y acepto voluntariamente participar en esta investigación."
"DC_approach_A1","Soil carbon management is not a priority in my agricultural practice.","La gestion du carbone du sol n'est pas une priorité dans ma pratique agricole.","La gestión del carbono del suelo no es una prioridad en mi práctica agrícola."
"DC_approach_A2","My current practices are not specifically designed to store carbon in the soil, but if it proves profitable, we may implement them.","Mes pratiques actuelles ne sont pas spécifiquement conçues pour stocker le carbone dans sol, mais si cela est rentable nous pourrons les mettre en place.","Mis prácticas actuales no están específicamente diseñadas para almacenar carbono en el suelo, pero si resulta rentable, podríamos adoptarlas."
"DC_approach_A3","Practices likely to enhance soil carbon are already part of my management strategy, such as planting hedges and trees.","Les pratiques susceptibles d'améliorer le carbone du sol sont incluses dans mes pratiques et de gestion de mon entreprise, comme l'implantation de haies, d'arbres.","Las prácticas que pueden aumentar el carbono en el suelo ya forman parte de mi estrategia de gestión, como la plantación de setos y árboles."
"DC_approach_A4","In my practices, I first aim to restore soil biology and add organic matter, then integrate hedges and trees. If possible, I would like to measure the impact of these actions on carbon storage.","Dans mes pratiques, j'essaye d'abord de rétablir la biologie de mon sol et d'ajouter de la matière organique pour après y acceuillir des haies et des arbres. Et si possible, j'aimerai mesurer les effets de mes actes sur le stockage du carbone.","En mis prácticas, primero intento restablecer la biología del suelo y añadir materia orgánica, y luego incorporar setos y árboles. Si es posible, me gustaría medir el impacto de estas acciones sobre el almacenamiento de carbono."
"DC_approach_Q","Which statement best describes your opinion? (Select only one option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","¿Cuál enunciado describe mejor su opinión? (Seleccione solo una opción)"
"DC_header","SECTION: CARBON","SECTION CARBONE","SECCIÓN: CARBONO"
"DC_K_A1","Drainage and agricultural practices impact the amount of carbon in the soil.","Le drainage et les pratiques agricoles ont un impact sur la quantité de carbone dans le sol.","El drenaje y las prácticas agrícolas tienen un impacto en la cantidad de carbono en el suelo."
"DC_K_A2","Dry soil stores carbon less effectively — or not at all — because microbial activity is greatly reduced. In contrast, moist soil promotes carbon storage and supports more intense biological activity.","Un sol sec stocke le carbone de manière moins efficace, voire pas du tout, car l'activité des micro-organismes est fortement réduite. À l’inverse, un sol humide favorise le stockage du carbone et l’activité biologique est plus intense.","Un suelo seco almacena carbono de forma menos eficaz, o incluso no lo almacena, porque la actividad de los microorganismos se reduce considerablemente. En cambio, un suelo húmedo favorece el almacenamiento de carbono y una mayor actividad biológica."
"DC_K_A3","A low level of fungi in the soil limits and reduces the soil’s ability to store carbon sustainably.","Un faible niveau de champignons dans le sol limite et réduit la capacité du sol à stocker durablement le carbone.","Un bajo nivel de hongos en el suelo limita y reduce la capacidad del suelo para almacenar carbono de manera sostenible."
