"unique_ID","French","English","Spanish"
"title_land_manager","Etude dédiée aux acteurs de l'immobilier et de la gestion du foncier.","Etude dédiée aux acteurs de l'immobilier et de la gestion du foncier.","Etude dédiée aux acteurs de l'immobilier et de la gestion du foncier."
"nav_start","Commencer","Commencer","Commencer"
"nav_back","Retour","Retour","Retour"
"nav_next","Suivant","Suivant","Suivant"
"yes","OUI","OUI","OUI"
"no","NON","NON","NON"
"dont_know","Je ne sais pas","Je ne sais pas","Je ne sais pas"
"comment_placeholder","Commentaires facultatifs.","Commentaires facultatifs.","Commentaires facultatifs."
"selected_coords","Coordonnées sélectionnées","Coordonnées sélectionnées","Coordonnées sélectionnées"
"prompt_select_on_map","Cliquez sur la carte pour sélectionner une localisation.","Cliquez sur la carte pour sélectionner une localisation.","Cliquez sur la carte pour sélectionner une localisation."
"location_selected_label","Coordonnées sélectionnées:","Coordonnées sélectionnées:","Coordonnées sélectionnées:"
"location_none_clicked","Aucune localisation cliquée.","Aucune localisation cliquée.","Aucune localisation cliquée."
"map_selected_location","Localisation sélectionnée","Localisation sélectionnée","Localisation sélectionnée"
"submit_answers_header","Soumission des réponses","Soumission des réponses","Soumission des réponses"
"thank_you_header","Merci pour votre temps !","Merci pour votre temps !","Merci pour votre temps !"
"receive_results_Q","Souhaitez-vous recevoir un récapitulatif / être recontacté·e pour les suites de l’étude ?","Souhaitez-vous recevoir un récapitulatif / être recontacté·e pour les suites de l’étude ?","Souhaitez-vous recevoir un récapitulatif / être recontacté·e pour les suites de l’étude ?"
"receive_results_A1","Oui, je souhaite être recontacté·e / recevoir un récapitulatif","Oui, je souhaite être recontacté·e / recevoir un récapitulatif","Oui, je souhaite être recontacté·e / recevoir un récapitulatif"
"receive_results_A2","Non, merci","Non, merci","Non, merci"
"receive_results_email","Votre e-mail (facultatif)","Votre e-mail (facultatif)","Votre e-mail (facultatif)"
"receive_results_privacy","Votre e-mail ne sera utilisé que pour vous recontacter au sujet de cette étude.","Votre e-mail ne sera utilisé que pour vous recontacter au sujet de cette étude.","Votre e-mail ne sera utilisé que pour vous recontacter au sujet de cette étude."
"missing_email","Veuillez renseigner votre e-mail ou choisir 'Non'.","Veuillez renseigner votre e-mail ou choisir 'Non'.","Veuillez renseigner votre e-mail ou choisir 'Non'."
"OptionalComment_text","Commentaire libre (optionnel)","Commentaire libre (optionnel)","Commentaire libre (optionnel)"
"no_results_found","Aucun résultat trouvé.","Aucun résultat trouvé.","Aucun résultat trouvé."
"no_valid_scores","Aucun score valide pour l’instant.","Aucun score valide pour l’instant.","Aucun score valide pour l’instant."
"score_interpretation_title","Interprétation de vos résultats","Interprétation de vos résultats","Interprétation de vos résultats"
"scoring_band_1","Bande de score 1","Bande de score 1","Bande de score 1"
"scoring_band_2","Bande de score 2","Bande de score 2","Bande de score 2"
"scoring_band_3","Bande de score 3","Bande de score 3","Bande de score 3"
"scoring_band_4","Bande de score 4","Bande de score 4","Bande de score 4"
"score_thank_you_extended","Merci pour votre contribution !","Merci pour votre contribution !","Merci pour votre contribution !"
"restartApp","Refaire le questionnaire","Refaire le questionnaire","Refaire le questionnaire"
"submitAll","Enregistrer & Voir Résultats","Enregistrer & Voir Résultats","Enregistrer & Voir Résultats"
"landmanagers_intro_header","Bienvenue dans cette étude dédiée aux acteurs de l'immobilier et de la gestion du foncier.","Bienvenue dans cette étude dédiée aux acteurs de l'immobilier et de la gestion du foncier.","Bienvenue dans cette étude dédiée aux acteurs de l'immobilier et de la gestion du foncier."
"landmanagers_intro_text","Le cadre de la directive européenne relative à la surveillance de la santé des sols offre une opportunité unique d’appréhender la place du sol au sein des stratégies nationales de sécurité. Par conséquent l’équipe Sécurité Défense et Renseignement (ESDR3C) du CNAM à Paris mène une étude pour mieux comprendre la place des sols, ainsi que la manière dont ils sont perçus et connus par chacun en France et au sein des pays membres de l'Europe. Ainsi, l’ensemble des acteurs en lien de près ou de loin avec le sol ont été invités à réaliser cette étude. Il ne s’agit ni d’un test de performance, ni d’une évaluation, mais d’une contribution précieuse à la recherche. Cette démarche vise à explorer notre relation au sol, ainsi que la manière dont le domaine de la sécurité pourrait y contribuer— par exemple en matière de prévention des conflits liés à l’usage des sols, de protection des zones sensibles ou encore dans le domaine agricole. Mais également à comprendre, de manière plus large, comment des sols sains et en bonne condition peuvent contribuer à la sécurité intérieure et à la stabilité internationale. Vos réponses sont recueillies de manière strictement anonyme. Pour garantir la pertinence scientifique de l’étude, la saisie des coordonnées GPS du sol auquel vous faites référence est toutefois essentielle (étude à l’échelle européenne). A la fin, vous recevrez un aperçu reflétant votre lien au sol. Cet aperçu pourra vous être utile si, à l’avenir, vous approfondissez vos connaissances sur les sols et choisissez de refaire l’étude : il vous offrira un point de comparaison pour suivre votre évolution dans le temps. Note spéciale : Afin de faciliter la traduction automatique dans les langues des pays membres de l’Union européenne, nous avons simplifié le vocabulaire en adoptant une forme neutre et en ne recourant pas à l’écriture inclusive. Nous souhaitons néanmoins souligner l’importance de la féminisation des dénominations professionnelles. Merci de votre compréhension. PhD candidate, Celine Basset, Security, Defense, Intelligence laboratory (ESDR3C) -CNAM Paris. Remerciements Dr. Julio Pachon Maldonado-University of Sydney Une profonde gratitude est adressée au Dr. Pachon Maldonado pour ses compétences remarquables en développement, qui ont joué un rôle déterminant dans la réalisation technique de ces applicationx. Son expertise, sa rigueur, ainsi que ses capacités ont grandement contribué à la qualité et à la réussite du projet d'applications. Professor Alex McBratney- University of Sydney and Professor Damien Field- University of Sydney Je tiens à exprimer ma reconnaissance sincère au Professeur Alex McBratney et au Professuer Damien Field pour le soutien financier apporté à ces travaux de recherche, ainsi que pour l’intérêt constant qu’ils leur ont témoigné. Leur engagement et leur confiance ont constitué un moteur essentiel à l’avancement de ce projet.","Le cadre de la directive européenne relative à la surveillance de la santé des sols offre une opportunité unique d’appréhender la place du sol au sein des stratégies nationales de sécurité. Par conséquent l’équipe Sécurité Défense et Renseignement (ESDR3C) du CNAM à Paris mène une étude pour mieux comprendre la place des sols, ainsi que la manière dont ils sont perçus et connus par chacun en France et au sein des pays membres de l'Europe. Ainsi, l’ensemble des acteurs en lien de près ou de loin avec le sol ont été invités à réaliser cette étude. Il ne s’agit ni d’un test de performance, ni d’une évaluation, mais d’une contribution précieuse à la recherche. Cette démarche vise à explorer notre relation au sol, ainsi que la manière dont le domaine de la sécurité pourrait y contribuer— par exemple en matière de prévention des conflits liés à l’usage des sols, de protection des zones sensibles ou encore dans le domaine agricole. Mais également à comprendre, de manière plus large, comment des sols sains et en bonne condition peuvent contribuer à la sécurité intérieure et à la stabilité internationale. Vos réponses sont recueillies de manière strictement anonyme. Pour garantir la pertinence scientifique de l’étude, la saisie des coordonnées GPS du sol auquel vous faites référence est toutefois essentielle (étude à l’échelle européenne). A la fin, vous recevrez un aperçu reflétant votre lien au sol. Cet aperçu pourra vous être utile si, à l’avenir, vous approfondissez vos connaissances sur les sols et choisissez de refaire l’étude : il vous offrira un point de comparaison pour suivre votre évolution dans le temps. Note spéciale : Afin de faciliter la traduction automatique dans les langues des pays membres de l’Union européenne, nous avons simplifié le vocabulaire en adoptant une forme neutre et en ne recourant pas à l’écriture inclusive. Nous souhaitons néanmoins souligner l’importance de la féminisation des dénominations professionnelles. Merci de votre compréhension. PhD candidate, Celine Basset, Security, Defense, Intelligence laboratory (ESDR3C) -CNAM Paris. Remerciements Dr. Julio Pachon Maldonado-University of Sydney Une profonde gratitude est adressée au Dr. Pachon Maldonado pour ses compétences remarquables en développement, qui ont joué un rôle déterminant dans la réalisation technique de ces applicationx. Son expertise, sa rigueur, ainsi que ses capacités ont grandement contribué à la qualité et à la réussite du projet d'applications. Professor Alex McBratney- University of Sydney and Professor Damien Field- University of Sydney Je tiens à exprimer ma reconnaissance sincère au Professeur Alex McBratney et au Professuer Damien Field pour le soutien financier apporté à ces travaux de recherche, ainsi que pour l’intérêt constant qu’ils leur ont témoigné. Leur engagement et leur confiance ont constitué un moteur essentiel à l’avancement de ce projet.","Le cadre de la directive européenne relative à la surveillance de la santé des sols offre une opportunité unique d’appréhender la place du sol au sein des stratégies nationales de sécurité. Par conséquent l’équipe Sécurité Défense et Renseignement (ESDR3C) du CNAM à Paris mène une étude pour mieux comprendre la place des sols, ainsi que la manière dont ils sont perçus et connus par chacun en France et au sein des pays membres de l'Europe. Ainsi, l’ensemble des acteurs en lien de près ou de loin avec le sol ont été invités à réaliser cette étude. Il ne s’agit ni d’un test de performance, ni d’une évaluation, mais d’une contribution précieuse à la recherche. Cette démarche vise à explorer notre relation au sol, ainsi que la manière dont le domaine de la sécurité pourrait y contribuer— par exemple en matière de prévention des conflits liés à l’usage des sols, de protection des zones sensibles ou encore dans le domaine agricole. Mais également à comprendre, de manière plus large, comment des sols sains et en bonne condition peuvent contribuer à la sécurité intérieure et à la stabilité internationale. Vos réponses sont recueillies de manière strictement anonyme. Pour garantir la pertinence scientifique de l’étude, la saisie des coordonnées GPS du sol auquel vous faites référence est toutefois essentielle (étude à l’échelle européenne). A la fin, vous recevrez un aperçu reflétant votre lien au sol. Cet aperçu pourra vous être utile si, à l’avenir, vous approfondissez vos connaissances sur les sols et choisissez de refaire l’étude : il vous offrira un point de comparaison pour suivre votre évolution dans le temps. Note spéciale : Afin de faciliter la traduction automatique dans les langues des pays membres de l’Union européenne, nous avons simplifié le vocabulaire en adoptant une forme neutre et en ne recourant pas à l’écriture inclusive. Nous souhaitons néanmoins souligner l’importance de la féminisation des dénominations professionnelles. Merci de votre compréhension. PhD candidate, Celine Basset, Security, Defense, Intelligence laboratory (ESDR3C) -CNAM Paris. Remerciements Dr. Julio Pachon Maldonado-University of Sydney Une profonde gratitude est adressée au Dr. Pachon Maldonado pour ses compétences remarquables en développement, qui ont joué un rôle déterminant dans la réalisation technique de ces applicationx. Son expertise, sa rigueur, ainsi que ses capacités ont grandement contribué à la qualité et à la réussite du projet d'applications. Professor Alex McBratney- University of Sydney and Professor Damien Field- University of Sydney Je tiens à exprimer ma reconnaissance sincère au Professeur Alex McBratney et au Professuer Damien Field pour le soutien financier apporté à ces travaux de recherche, ainsi que pour l’intérêt constant qu’ils leur ont témoigné. Leur engagement et leur confiance ont constitué un moteur essentiel à l’avancement de ce projet."
"consent_text","Dans le cadre de cette étude, nous vous informons que : Aucune donnée personnelle (nom, prénom, adresse e-mail, adresse IP, etc.) ne sera collectée de manière obligatoire. Si vous choisissez de renseigner votre adresse e-mail afin d’être recontacté(e) pour le suivi de l’étude, cela reste entièrement facultatif et repose sur votre consentement libre et éclairé. Toutes les réponses fournies dans ce questionnaire sont strictement anonymes. Votre participation est libre, volontaire et sans aucune obligation. Vous avez le droit de refuser de participer ou de vous retirer de cette étude à tout moment, sans avoir à vous justifier et sans aucune conséquence. Vous avez également le droit d’être informé(e) sur les objectifs de l’étude et l’utilisation des données recueillies. Aucun identifiant personnel ni information technique (comme l’adresse IP) ne sera collecté. Les données recueillies sont hébergées sur des serveurs conformes au RGPD. Les données recueillies dans le cadre de cette étude sont strictement anonymisées. Elles pourront être conservées pendant une durée maximale de 5 ans après la fin de l’étude, exclusivement à des fins d’analyse, de vérification des résultats et d’archivage scientifique, conformément aux recommandations de la CNIL. Vos réponses aux questions posées sont exploitées par l’équipe de l’étude du laboratoire Equipe Sécurité Défense Renseignement (ESDR3C) du CNAM de Paris et son partenaire (l’Université de Sydney, laboratoire Sécurisation des sols (soil security). Merci de contribuer à cette recherche J’ai lu et compris les renseignements fournis dans la fiche d’informations et j’accepte de plein gré de participer à cette recherche.","Dans le cadre de cette étude, nous vous informons que : Aucune donnée personnelle (nom, prénom, adresse e-mail, adresse IP, etc.) ne sera collectée de manière obligatoire. Si vous choisissez de renseigner votre adresse e-mail afin d’être recontacté(e) pour le suivi de l’étude, cela reste entièrement facultatif et repose sur votre consentement libre et éclairé. Toutes les réponses fournies dans ce questionnaire sont strictement anonymes. Votre participation est libre, volontaire et sans aucune obligation. Vous avez le droit de refuser de participer ou de vous retirer de cette étude à tout moment, sans avoir à vous justifier et sans aucune conséquence. Vous avez également le droit d’être informé(e) sur les objectifs de l’étude et l’utilisation des données recueillies. Aucun identifiant personnel ni information technique (comme l’adresse IP) ne sera collecté. Les données recueillies sont hébergées sur des serveurs conformes au RGPD. Les données recueillies dans le cadre de cette étude sont strictement anonymisées. Elles pourront être conservées pendant une durée maximale de 5 ans après la fin de l’étude, exclusivement à des fins d’analyse, de vérification des résultats et d’archivage scientifique, conformément aux recommandations de la CNIL. Vos réponses aux questions posées sont exploitées par l’équipe de l’étude du laboratoire Equipe Sécurité Défense Renseignement (ESDR3C) du CNAM de Paris et son partenaire (l’Université de Sydney, laboratoire Sécurisation des sols (soil security). Merci de contribuer à cette recherche J’ai lu et compris les renseignements fournis dans la fiche d’informations et j’accepte de plein gré de participer à cette recherche.","Dans le cadre de cette étude, nous vous informons que : Aucune donnée personnelle (nom, prénom, adresse e-mail, adresse IP, etc.) ne sera collectée de manière obligatoire. Si vous choisissez de renseigner votre adresse e-mail afin d’être recontacté(e) pour le suivi de l’étude, cela reste entièrement facultatif et repose sur votre consentement libre et éclairé. Toutes les réponses fournies dans ce questionnaire sont strictement anonymes. Votre participation est libre, volontaire et sans aucune obligation. Vous avez le droit de refuser de participer ou de vous retirer de cette étude à tout moment, sans avoir à vous justifier et sans aucune conséquence. Vous avez également le droit d’être informé(e) sur les objectifs de l’étude et l’utilisation des données recueillies. Aucun identifiant personnel ni information technique (comme l’adresse IP) ne sera collecté. Les données recueillies sont hébergées sur des serveurs conformes au RGPD. Les données recueillies dans le cadre de cette étude sont strictement anonymisées. Elles pourront être conservées pendant une durée maximale de 5 ans après la fin de l’étude, exclusivement à des fins d’analyse, de vérification des résultats et d’archivage scientifique, conformément aux recommandations de la CNIL. Vos réponses aux questions posées sont exploitées par l’équipe de l’étude du laboratoire Equipe Sécurité Défense Renseignement (ESDR3C) du CNAM de Paris et son partenaire (l’Université de Sydney, laboratoire Sécurisation des sols (soil security). Merci de contribuer à cette recherche J’ai lu et compris les renseignements fournis dans la fiche d’informations et j’accepte de plein gré de participer à cette recherche."
"PRESENTATION_header","PRÉSENTATION","PRÉSENTATION","PRÉSENTATION"
"PRESENTATION_intro_text","Dans le cadre de cette étude, les premières questions ont pour but de mieux situer la catégorie professionnelle des répondants. Il s’agit notamment de savoir s’ils travaillent dans le secteur agricole ou non, ainsi que de connaître leur profession ou activité principale.","Dans le cadre de cette étude, les premières questions ont pour but de mieux situer la catégorie professionnelle des répondants. Il s’agit notamment de savoir s’ils travaillent dans le secteur agricole ou non, ainsi que de connaître leur profession ou activité principale.","Dans le cadre de cette étude, les premières questions ont pour but de mieux situer la catégorie professionnelle des répondants. Il s’agit notamment de savoir s’ils travaillent dans le secteur agricole ou non, ainsi que de connaître leur profession ou activité principale."
"role_Q","Dans quel(s) domaine(s) d'application exercez-vous vos missions principales ? (Sélectionnez une ou plusieurs réponses)","Dans quel(s) domaine(s) d'application exercez-vous vos missions principales ? (Sélectionnez une ou plusieurs réponses)","Dans quel(s) domaine(s) d'application exercez-vous vos missions principales ? (Sélectionnez une ou plusieurs réponses)"
"role_A1","Métiers du foncier","Métiers du foncier","Métiers du foncier"
"role_A2","Métiers de l’immobilier","Métiers de l’immobilier","Métiers de l’immobilier"
"role_A3","Métiers du financement immobilier","Métiers du financement immobilier","Métiers du financement immobilier"
"role_A4","Métiers techniques en immobilier","Métiers techniques en immobilier","Métiers techniques en immobilier"
"role_A5","Métiers spécialisés dans l’immobilier commercial","Métiers spécialisés dans l’immobilier commercial","Métiers spécialisés dans l’immobilier commercial"
"role_A6","Métiers connexes au foncier et à l’immobilier","Métiers connexes au foncier et à l’immobilier","Métiers connexes au foncier et à l’immobilier"
"other_role_autres","Précisez :","Précisez :","Précisez :"
"poste_Q","Quel est l’intitulé de votre poste ? (Sélectionnez une ou plusieurs réponses)","Quel est l’intitulé de votre poste ? (Sélectionnez une ou plusieurs réponses)","Quel est l’intitulé de votre poste ? (Sélectionnez une ou plusieurs réponses)"
"poste_A1","Urbaniste","Urbaniste","Urbaniste"
"poste_A2","Géomètre","Géomètre","Géomètre"
"poste_A3","Agent immobilier foncier","Agent immobilier foncier","Agent immobilier foncier"
"poste_A4","Expert, responsable foncier","Expert, responsable foncier","Expert, responsable foncier"
"poste_A5","Chargé de mission foncier","Chargé de mission foncier","Chargé de mission foncier"
"poste_A6","Négociateur foncier","Négociateur foncier","Négociateur foncier"
"poste_A7","Conseiller en stratégie foncière","Conseiller en stratégie foncière","Conseiller en stratégie foncière"
"poste_A8","Agent immobilier","Agent immobilier","Agent immobilier"
"poste_A9","Gestionnaire de biens immobiliers","Gestionnaire de biens immobiliers","Gestionnaire de biens immobiliers"
"poste_A10","Notaire immobilier","Notaire immobilier","Notaire immobilier"
"poste_A11","Administrateur de biens","Administrateur de biens","Administrateur de biens"
"poste_A12","Marchand de biens","Marchand de biens","Marchand de biens"
"poste_A13","Conseiller immobilier","Conseiller immobilier","Conseiller immobilier"
"poste_A14","Courtier immobilier","Courtier immobilier","Courtier immobilier"
"poste_A15","Promoteur immobilier","Promoteur immobilier","Promoteur immobilier"
"poste_A16","Expert immobilier","Expert immobilier","Expert immobilier"
"poste_A17","Architecte","Architecte","Architecte"
"poste_A18","Chargé d’études immobilières","Chargé d’études immobilières","Chargé d’études immobilières"
"poste_A19","Conseiller en investissement immobilier","Conseiller en investissement immobilier","Conseiller en investissement immobilier"
"poste_A20","Banquier immobilier","Banquier immobilier","Banquier immobilier"
"poste_A21","Analyste en financement immobilier","Analyste en financement immobilier","Analyste en financement immobilier"
"poste_A22","Technicien en aménagement du territoire","Technicien en aménagement du territoire","Technicien en aménagement du territoire"
"poste_A23","Constructeur immobilier","Constructeur immobilier","Constructeur immobilier"
"poste_A24","Ingénieur en bâtiment","Ingénieur en bâtiment","Ingénieur en bâtiment"
"poste_A25","Responsable de la qualité et de la sécurité","Responsable de la qualité et de la sécurité","Responsable de la qualité et de la sécurité"
"poste_A26","Expert en évaluation immobilière","Expert en évaluation immobilière","Expert en évaluation immobilière"
"poste_A27","Responsable développement immobilier","Responsable développement immobilier","Responsable développement immobilier"
"other_poste","Veuillez préciser votre poste :","Veuillez préciser votre poste :","Veuillez préciser votre poste :"
"perceivedThreats_Q","Sur votre territoire, rencontrez-vous l'une des difficultés suivantes avec votre sol ? (Sélection multiple possible)","Sur votre territoire, rencontrez-vous l'une des difficultés suivantes avec votre sol ? (Sélection multiple possible)","Sur votre territoire, rencontrez-vous l'une des difficultés suivantes avec votre sol ? (Sélection multiple possible)"
"perceivedThreats_A1","Érosion","Érosion","Érosion"
"perceivedThreats_A2","Acidification","Acidification","Acidification"
"perceivedThreats_A3","Déclin de la structure (par ex, compaction)","Déclin de la structure (par ex, compaction)","Déclin de la structure (par ex, compaction)"
"perceivedThreats_A4","Perte de carbone dans le sol","Perte de carbone dans le sol","Perte de carbone dans le sol"
"perceivedThreats_A5","Salinisation","Salinisation","Salinisation"
"perceivedThreats_A6","Perte d'habitat/dégradation biologie du sol","Perte d'habitat/dégradation biologie du sol","Perte d'habitat/dégradation biologie du sol"
"perceivedThreats_A7","Pollution des sols","Pollution des sols","Pollution des sols"
"perceivedThreats_A8","Artificialisation des terres","Artificialisation des terres","Artificialisation des terres"
"perceivedThreats_A9","Autre (précisez)","Autre (précisez)","Autre (précisez)"
"other_perceivedThreats","Précisez","Précisez","Précisez"
"Supply_header","CHAÎNES D’APPROVISIONNEMENT","CHAÎNES D’APPROVISIONNEMENT","CHAÎNES D’APPROVISIONNEMENT"
"supply_newconcepts_Q","Sélectionnez tous les NOUVEAUX concepts (Sélectionnez tout ce qui s’applique)","Sélectionnez tous les NOUVEAUX concepts (Sélectionnez tout ce qui s’applique)","Sélectionnez tous les NOUVEAUX concepts (Sélectionnez tout ce qui s’applique)"
"supply_newconcepts_A1","Les cyberattaques menacent les systèmes informatiques de gestion des chaînes d'approvisionnement et peuvent entraîner des fuites de données sensibles et perturber la distribution d’intrants agricoles et de denrées alimentaires.","Les cyberattaques menacent les systèmes informatiques de gestion des chaînes d'approvisionnement et peuvent entraîner des fuites de données sensibles et perturber la distribution d’intrants agricoles et de denrées alimentaires.","Les cyberattaques menacent les systèmes informatiques de gestion des chaînes d'approvisionnement et peuvent entraîner des fuites de données sensibles et perturber la distribution d’intrants agricoles et de denrées alimentaires."
"supply_newconcepts_A2","La rupture des chaînes d’approvisionnement par la panne mondiale du 19 juillet 2024 (suite à un problème de mise à jour défectueuse d’un logiciel de cybersécurité) semblerait avoir engendré entre 5 à 10 milliards de pertes financière globale.","La rupture des chaînes d’approvisionnement par la panne mondiale du 19 juillet 2024 (suite à un problème de mise à jour défectueuse d’un logiciel de cybersécurité) semblerait avoir engendré entre 5 à 10 milliards de pertes financière globale.","La rupture des chaînes d’approvisionnement par la panne mondiale du 19 juillet 2024 (suite à un problème de mise à jour défectueuse d’un logiciel de cybersécurité) semblerait avoir engendré entre 5 à 10 milliards de pertes financière globale."
"supply_newconcepts_A3","Les catastrophes naturelles, comme les inondations ou les séismes, peuvent déstabiliser les infrastructures logistiques critiques et entraîner des pénuries de produits (agricoles et alimentaires) dans votre territoire (ex : Mayotte).","Les catastrophes naturelles, comme les inondations ou les séismes, peuvent déstabiliser les infrastructures logistiques critiques et entraîner des pénuries de produits (agricoles et alimentaires) dans votre territoire (ex : Mayotte).","Les catastrophes naturelles, comme les inondations ou les séismes, peuvent déstabiliser les infrastructures logistiques critiques et entraîner des pénuries de produits (agricoles et alimentaires) dans votre territoire (ex : Mayotte)."
"supply_newconcepts_A4","Les tensions géopolitiques, les conflits et l’inflation peuvent provoquer des ruptures importantes dans les chaînes d'approvisionnement, affectant la production et la distribution des biens essentiels nécessaires pour la production agricole et l’alimentation.","Les tensions géopolitiques, les conflits et l’inflation peuvent provoquer des ruptures importantes dans les chaînes d'approvisionnement, affectant la production et la distribution des biens essentiels nécessaires pour la production agricole et l’alimentation.","Les tensions géopolitiques, les conflits et l’inflation peuvent provoquer des ruptures importantes dans les chaînes d'approvisionnement, affectant la production et la distribution des biens essentiels nécessaires pour la production agricole et l’alimentation."
"supply_newconcepts_A5","Je suis familier avec tous ces concepts.","Je suis familier avec tous ces concepts.","Je suis familier avec tous ces concepts."
"supply_approach_Q","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)"
"supply_approach_A1","Les chaînes d’approvisionnement ne sont pas une menace ou une priorité pour mon activité professionnelle.","Les chaînes d’approvisionnement ne sont pas une menace ou une priorité pour mon activité professionnelle.","Les chaînes d’approvisionnement ne sont pas une menace ou une priorité pour mon activité professionnelle."
"supply_approach_A2","Je reconnais l’importance des chaînes d’approvisionnement, mais aucune stratégie spécifique, d’actions concrètes, ou actions ciblées à ce sujet n’a encore été mise en place à cet égard.","Je reconnais l’importance des chaînes d’approvisionnement, mais aucune stratégie spécifique, d’actions concrètes, ou actions ciblées à ce sujet n’a encore été mise en place à cet égard.","Je reconnais l’importance des chaînes d’approvisionnement, mais aucune stratégie spécifique, d’actions concrètes, ou actions ciblées à ce sujet n’a encore été mise en place à cet égard."
"supply_approach_A3","Je prends des mesures pour sensibiliser mes collègues aux risques liés aux chaînes d’approvisionnement, notamment par la participation à des colloques et la mise en relation avec des experts, afin de saisir de quelle manière ces enjeux pourraient influencer la planification des projets professionnels de mon secteur.","Je prends des mesures pour sensibiliser mes collègues aux risques liés aux chaînes d’approvisionnement, notamment par la participation à des colloques et la mise en relation avec des experts, afin de saisir de quelle manière ces enjeux pourraient influencer la planification des projets professionnels de mon secteur.","Je prends des mesures pour sensibiliser mes collègues aux risques liés aux chaînes d’approvisionnement, notamment par la participation à des colloques et la mise en relation avec des experts, afin de saisir de quelle manière ces enjeux pourraient influencer la planification des projets professionnels de mon secteur."
"supply_approach_A4","La gestion des chaînes d’approvisionnement est une priorité stratégique pour mon métier, et je travaille activement à promouvoir des solutions durables et résilientes, comme privilégier des produits et matériaux français et raccourcir les flux d'approvisionnement.","La gestion des chaînes d’approvisionnement est une priorité stratégique pour mon métier, et je travaille activement à promouvoir des solutions durables et résilientes, comme privilégier des produits et matériaux français et raccourcir les flux d'approvisionnement.","La gestion des chaînes d’approvisionnement est une priorité stratégique pour mon métier, et je travaille activement à promouvoir des solutions durables et résilientes, comme privilégier des produits et matériaux français et raccourcir les flux d'approvisionnement."
