"unique_ID","French","English","Spanish"
"A_approach_A1","Le pH des sols n'est pas pris en compte dans la gestion de mon territoire car cette problématique relève principalement du domaine agricole.","Soil pH is not taken into account in the management of my territory because this issue mainly concerns the agricultural sector.","El pH del suelo no se tiene en cuenta en la gestión de mi territorio porque esta cuestión concierne principalmente al sector agrícola."
"A_approach_A2","J'ai occasionnellement testé le pH du sol, mais cela n'a pas encore eu un impact significatif sur mes décisions.","I have occasionally tested the pH of the soil, but this has not yet had a significant impact on my decisions.","He analizado ocasionalmente el pH del suelo, pero esto aún no ha tenido un impacto significativo en mis decisiones."
"A_approach_A3","Le pH des sols est régulièrement surveillé dans les zones sensibles, et ces données sont utilisées pour ajuster nos politiques environnementales et aide les services et institutions agricole.","Soil pH is regularly monitored in sensitive areas, and this data is used to adjust our environmental policies and supports agricultural services and institutions.","El pH del suelo se controla periódicamente en las zonas sensibles, y estos datos se utilizan para ajustar nuestras políticas medioambientales y ayudar a los servicios e instituciones agrícolas."
"A_approach_A4","Dans le cadre de la gestion durable, je mets en place un suivi géolocalisé du pH des sols car nous collaborons avec les institutions agricoles de notre territoire pour échanger des données importantes. Cela nous aide dans la gestion territoriale.","As part of sustainable management, I am setting up geolocated monitoring of soil pH because we collaborate with the agricultural institutions of our territory to exchange important data. This helps us in territorial management.","Como parte de la gestión sostenible, estoy estableciendo un seguimiento geolocalizado del pH del suelo porque colaboramos con las instituciones agrícolas de nuestro territorio para intercambiar datos importantes. Esto nos ayuda en la gestión territorial."
"A_approach_Q","Quelle affirmation décrit le mieux votre pratique / démarche ? (Choisissez une seule option)","Which statement best describes your practice / approach? (Choose one option)","¿Qué afirmación describe mejor su práctica / enfoque? (Elija una sola opción)"
"A_header","ACIDIFICATION","ACIDIFICATION","ACIDIFICACIÓN"
"A_K_A1","Un sol avec un pH < 5,5 est considéré comme acide.","A soil with a pH < 5.5 is considered acidic.","Un suelo con un pH < 5,5 se considera ácido."
"A_K_A2","Le pH du sol influence la capacité des plantes à accéder aux nutriments et peut entraîner une carence ou une toxicité.","Soil pH influences the ability of plants to access nutrients and can lead to deficiency or toxicity.","El pH del suelo influye en la capacidad de las plantas para acceder a los nutrientes y puede provocar deficiencias o toxicidad."
"A_K_A3","Les pratiques agricoles peuvent provoquer l'acidification du sol, même dans les sols alcalins.","Agricultural practices can cause soil acidification, even in alkaline soils.","Las prácticas agrícolas pueden provocar la acidificación del suelo, incluso en suelos alcalinos."
"A_K_A4","La capacité tampon du sol indique la capacité du sol à résister aux changements de pH.","The buffering capacity of the soil indicates the ability of the soil to resist changes in pH.","La capacidad de amortiguación del suelo indica la capacidad del suelo para resistir los cambios de pH."
"A_K_A5","Je suis familier avec tous ces concepts.","I am familiar with all these concepts.","Estoy familiarizado/a con todos estos conceptos."
"A_K_Q","Sélectionnez tous les concepts qui sont NOUVEAUX pour vous (Sélectionnez tout ce qui s’applique)","Select all the concepts that are NEW to you (Select all that apply)","Seleccione todos los conceptos que le resulten NUEVOS (Marque todo lo que corresponda)"
"A_opinion_A1","Je pense que je n'ai pas besoin de connaître le pH du sol de mon territoire.","I think I don't need to know the pH of the soil in my territory.","Creo que no necesito saber el pH del suelo de mi territorio."
"A_opinion_A2","Je considère que l’acidification des sols est rarement prise en compte dans les décisions de gestion, car il s’agit avant tout d’un problème agricole et non d’une préoccupation administrative ou publique.","I consider that soil acidification is rarely taken into account in management decisions, as it is primarily an agricultural problem and not an administrative or public concern.","Considero que la acidificación del suelo rara vez se tiene en cuenta en las decisiones de gestión, ya que es principalmente un problema agrícola y no una preocupación administrativa o pública."
"A_opinion_A3","Je pense que les pratiques qui minimisent l'acidification du sol sont prioritaires sur mon territoire si elles sont rentables uniquement.","I think that practices that minimise soil acidification are a priority in my territory only if they are profitable.","Creo que las prácticas que minimizan la acidificación del suelo son una prioridad en mi territorio solo si son rentables."
"A_opinion_A4","D’après moi, il conviendrait que chacun surveille le pH de son sol, tant en surface qu’en profondeur, et prenne en charge son acidification.","In my opinion, everyone should monitor the pH of their soil, both on the surface and in depth, and take charge of its acidification.","En mi opinión, todo el mundo debería controlar el pH de su suelo, tanto en la superficie como en profundidad, y hacerse cargo de su acidificación."
"A_opinion_Q","Quelle affirmation décrit le mieux votre opinion ? (Choisissez une seule option)","Which statement best describes your opinion? (Choose one option)","¿Qué afirmación describe mejor su opinión? (Elija una sola opción)"
"Age_A1","Moins de 25 ans","Under 25","Menor de 25 años"
"Age_A2","25–34 ans","25–34","25–34 años"
"Age_A3","35–44 ans","35–44","35–44 años"
"Age_A4","45–54 ans","45–54","45–54 años"
"Age_A5","55–64 ans","55–64","55–64 años"
"Age_A6","65–74 ans","65–74","65–74 años"
"Age_A7","75 ans ou plus","75 or older","75 años o más"
"Age_A8","Préfère ne pas répondre","Prefer not to say","Prefiero no responder"
"Age_Q","Quel âge avez-vous?","How old are you?","¿Qué edad tiene?"
"comment_placeholder","Écrivez votre réponse ici...","Write your answer here...","Escribe tu respuesta aquí..."
